特性,Claude Code,Peri,状态
Agent Loop 及界面,,,
语言及 TUI 框架,TypeScript + Bun + Ink,Rust + ratatui,✅
ReAct,最大迭代控制 + 重试机制 + 主动取消中断,最大迭代控制 + 重试机制 + 主动取消中断,✅
流式输出,SSE 块级流式渲染,SSE + 字符级流式渲染,✅
Prompt Caching,~95% + 过期检测,~95%,⚠️
,,,
,,,
UI UX,,,
输入框,多行 + 粘贴 + 跨词移动 + 图片粘贴,多行 + 粘贴 + 跨词移动,⚠️
中断恢复,支持,支持,✅
多 Session,--,支持,✅
Headless 测试,--,支持,✅
主题配置,支持,--,❌
StatusLine,StatusLine,--,✅
输入建议,suggestions/（智能命令/参数建议）,--,❌
快捷键系统,keybindings/defaultBindings,--,❌
Voice 配置,只有 Anthropic 官方才支持，并且只支持英文,--,❌
初始化面板,支持,支持,✅
i18n,英文,中文、英文,✅
Diff 显示,gitDiff（高级 diff 处理和展示）,--,❌
Prompt Queueing,当前轮次打断输入,等待下一轮输入,⚠️
Checkpointing,文件编辑追踪 + 回滚 + Fork,--,❌
/btw,btw（快速侧问题，不打断主对话）,--,❌
/ultrareview,ultrareview（远程 bughunter，10-20 分钟自动找 bug）,--,❌
/ultraplan,ultraplan（增强多 agent 规划）,--,❌
/vim,vim（Vim 编辑器集成）,--,❌
,,,
,,,
,,,
大模型相关配置,,,
LLM Provider,Anthropic 协议 + Thinking 支持,"Anthropic, OpenAI 兼容 + Thinking 支持",✅
思考强度,支持,支持,✅
上下文大小, 200K/1M,200K,⚠️
,,,
内置工具,,,
AskUserQuestion,支持,支持,✅
Cron 定时任务能力,/loop 启动支持,/loop 启动支持,✅
LSP 支持,LSPTool,peri-lsp 独立包支持,✅
TodoWrite,TodoWriteTool,TodoWrite,✅
ToolSearch 能力,只有 Anthropic 官方才支持,SearchExtraTool+ ExecuteExtraTool,✅
文件系统工具,FileRead/Write/Edit + Glob/Grep,FileRead/Write/Edit + Glob/Grep + folder_operations 独立,✅
Config,ConfigTool,--,⚠️
Shell工具,BashTool + PowerShellTool,Bash（缺 PowerShell）,⚠️
SkillTool,SkillTool+DiscoverSkillsTool,--,⚠️
WebFetch/WebSearch,只支持自家网络搜索及能力,Bing 搜索引擎支持,⚠️
CtxInspectTool,上下文窗口检查,--,❌
Jupyter,NotebookEditTool,--,❌
LocalMemoryRecall,LocalMemoryRecallTool,--,❌
MonitorTool,后台命令监控（类似 watch）,--,❌
Plan 工具,EnterPlanMode / ExitPlanMode / VerifyPlan,--,❌
PushNotificationTool,桌面推送通知,--,❌
RemoteTriggerTool,远程触发,--,❌
ReviewArtifactTool,审查产物,--,❌
SendUserFileTool,文件传输给用户,--,❌
Task 系列工具,TaskCreate/Update/List/Get/Stop/Output,--,❌
TerminalCaptureTool,终端屏幕截图,--,❌
VaultHttpFetchTool,Vault 获取（带 scrubbing）,--,❌
WorkflowTool,执行 .claude/workflows/ 脚本,--,❌
辅助（Snip/Sleep/CtxInspect）,SnipTool + SleepTool + CtxInspectTool,--,❌
,,,
Multi Agent,,,
Agent 定义目录,.claude/agents/{id}/agent.md,.claude/agents/{id}/agent.md,✅
内置 Agent,"generalPurpose, plan, explore, verification, claudeCodeGuide","explore, general-purpose, plan, verification",⚠️
Fork Agent,支持,支持,✅
Background Agent,支持（Task 系统）,支持,✅
Coordinator Mode,自动分发任务给多个并行 worker,--,❌
Agent Teams,swarm/（多 agent 团队协调，in-process / terminal / iTerm2 后端）,--,❌
,,,
MCP 支持,,,
MCP 协议,StreamableHTTP+ Stdio + OAuth 登陆,StreamableHTTP+ Stdio + OAuth 登陆,✅
.mcp.json,支持,支持,✅
MCP Resource,ReadMcpResource + ListMcpResources,--,⚠️
MCP Channel Notifications,channelNotification channelPermissions channelAllowlist,--,❌
MCP scope,global / enterprise / project / dynamic,无 scope 概念,❌
MCP 企业策略,allowedMcpServers / deniedMcpServers,--,❌
,,,
,,,
,,,
Skill 支持,,,
触发方式,/skill-name 或 LLM 调用 SkillTool,/skill-name,⚠️
内建 Skills,17 个,无内建（仅用户定义）,❌
Skill Search,TF-IDF 本地搜索 + 远程加载,--,❌
MCP Skills,mcpSkills（从 MCP 构建 skill）,--,❌
,,,
权限管控,,,
权限模式,"ask, auto, plan,bypass","ask, auto, plan,bypass",✅
Bash LLM 分类器,bashClassifier（LLM 驱动的 bash 安全分类）,--,❌
权限规则语法,Tool(specifier) + glob * + deny→ask→allow 顺序,--,❌
受保护路径,CWD 外写入始终拒绝（bypass 除外）,--,❌
断路器,rm -rf / + home 目录删除始终提示,--,❌
Sandbox 模式,Seatbelt macOS / bubblewrap Linux，OS 级文件+网络隔离,--,❌
,,,
上下文管理,,,
auto compact,autoCompact（token 阈值）,85% 阈值自动触发,✅
Micro-compact,microCompact（零 API，清除可压缩工具结果/图片/文档）,micro-compact（零 API，白名单工具 + 时间衰减 + 图片/文档占位符）,✅
Full Compact,LLM 结构化摘要（9 段）,LLM 9 段结构化摘要,✅
Snip Compact,snipCompact（snip 投影压缩）,--,❌
Context Collapse,contextCollapse（持久化上下文折叠）,--,❌
/compact 命令,/compact [instructions],/compact [instructions],✅
/context 命令,/context（实时分类用量 + 优化建议）,/context（上下文窗口使用情况）,⚠️
,,,
用户配置,,,
全局用户配置,~/.claude/settings.json,~/.peri/settings.json（兼容读取 .claude/）,⚠️
项目级配置,.claude/settings.json（可提交 git）,--,❌
本地配置（gitignore）,.claude/settings.local.json,--,❌
多源合并,7 层优先级（plugin → user → project → local → policy → flag → inline）,单文件加载,⚠️
项目上下文,CLAUDE.md + .claude/CLAUDE.md,CLAUDE.md + .claude/CLAUDE.md + AGENTS.md,✅
,,,
,,,
,,,
API Key 存储,Keychain（macOS）/ apiKeyHelper 脚本,明文存储 settings.json,⚠️
模型覆盖,modelOverrides（企业级 Bedrock ARN 映射）,--,❌
语言设置,支持,--,✅
插件策略,strictPluginOnlyCustomization + strictKnownMarketplaces + blockedMarketplaces,enabledPlugins + extraKnownMarketplaces,⚠️
远程托管设置,remoteManagedSettings（安全检查 + 同步缓存）,--,❌
MDM 管理,macOS plist / Windows registry / Linux JSON（first-source-wins）,--,❌
Settings Sync,settingsSync/（跨机器同步）,--,❌
配置验证,支持,--,⚠️
,,,
CLI 支持,,,
CLI 参数,"50+ flags（--model, --system-prompt, --max-budget-usd 等）",-a -y + ACP 子命令,⚠️
设置覆盖,--settings（文件或 JSON 字符串）,--,❌
无权限模式,支持,支持,✅
update,支持,支持,✅
,,,
Git 相关,,,
Gitignore 尊重,支持,--,❌
Attribution,支持,--,⚠️
Git 指令注入,支持,--,❌
Worktree 配置,支持,--,❌
,,,
,,,
插件系统,,,
Marketplace,支持,支持,✅
安装管理,支持,支持,✅
插件安装 MCP,支持,支持,✅
插件安装 Skills,支持,支持,✅
插件安装 Hooks,支持,支持,✅
插件输出样式自定义,支持,--,❌
,,,
Hook 支持,,,
Hook 事件数,28 个（7 类：session/turn/agentic/notification/context/compact/worktree/MCP）,14 个（session/turn/tool/notification/subagent/compact）,⚠️
Hook 执行类型,5 种（command/http/mcp_tool/prompt/agent）,4 种（command/http/prompt/agent）,⚠️
异步 Hook,支持,支持,⚠️
变量替换,支持,支持,✅
once 语义,支持,支持（plugin_id:hook_serialized:event key）,✅
项目级 Hooks,支持,支持,✅
插件 Hooks,支持,支持,✅
,,,
会话管理,,,
会话持久化,支持,支持,✅
会话恢复,支持,支持,⚠️
会话命名,支持,支持,✅
会话分支,/branch（从当前点分叉）,--,❌
会话导出,Export（导出对话）,--,❌
,,,
Memory System,,,
Memory 提取,extractMemories（自动写入 MEMORY.md，200 行/25KB 上限）,手动 /memory（编辑 CLAUDE.md）,❌
Memory 目录,~/.claude/projects/<project>/memory/MEMORY.md,--,❌
Auto Memory 控制,/memory 开关 + autoMemoryEnabled 配置,--,❌
Subagent Memory,子 agent 独立 auto memory,--,❌
Team Memory,支持,--,❌
Auto Dream,支持,--,❌
,,,
遥测,,,
OpenTelemetry,支持,支持,✅
Langfuse,--,支持,✅
,,,
IDE 支持,,,
VS Code 扩展,Claude Code Extension,--,❌
JetBrains 插件,Claude Code Plugin,--,❌
Neovim,社区插件（claude-code.nvim）,--,❌
ACP 协议（IDE 通用）,Zed 等 ACP Client 直连,支持,✅
,,,
其他集成,,,
GitHub Actions,支持,--,❌
GitLab CI/CD,支持,--,❌
DevContainer,支持,--,❌
Remote Control,支持,--,❌
SSH Remote,支持,--,❌
Computer Use,支持,--,❌
Chrome Use MCP,支持,--,❌
Buddy System,支持,--,❌
